player_id,player_name,team,position,cluster,archetype
P00028,Jamal Havertz,Germany,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00029,Leroy Schlotterbeck,Germany,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00030,Joshua Rudiger,Germany,Defender,1,Defender: Clearances + Aerial duels
P00031,Jamal Goretzka,Germany,Defender,1,Defender: Clearances + Aerial duels
P00032,Leroy Werner,Germany,Defender,1,Defender: Clearances + Aerial duels
P00033,Kai Neuer,Germany,Defender,1,Defender: Clearances + Aerial duels
P00034,Antonio Gnabry,Germany,Defender,1,Defender: Clearances + Aerial duels
P00035,Nico Ginter,Germany,Defender,1,Defender: Clearances + Aerial duels
P00036,Leon Sule,Germany,Defender,1,Defender: Clearances + Aerial duels
P00037,Florian Brandt,Germany,Defender,1,Defender: Clearances + Aerial duels
P00038,Timo Henrichs,Germany,Defender,1,Defender: Clearances + Aerial duels
P00039,Joshua Tah,Germany,Midfielder,2,Midfielder: Key passes + Passing
P00040,Jamal Koch,Germany,Midfielder,2,Midfielder: Key passes + Passing
P00041,Leroy Klostermann,Germany,Midfielder,2,Midfielder: Key passes + Passing
P00042,Kai Can,Germany,Midfielder,2,Midfielder: Key passes + Passing
P00043,Antonio Fulle,Germany,Midfielder,2,Midfielder: Key passes + Passing
P00044,Nico Volland,Germany,Midfielder,2,Midfielder: Key passes + Passing
P00045,Leon Gotze,Germany,Midfielder,2,Midfielder: Key passes + Passing
P00046,Florian Musiala,Germany,Midfielder,2,Midfielder: Key passes + Passing
P00047,Joshua Fulle,Germany,Forward,0,Forward: Shots + Goals
P00048,Jamal Volland,Germany,Forward,0,Forward: Shots + Goals
P00049,Leroy Gotze,Germany,Forward,0,Forward: Shots + Goals
P00050,Kai Musiala,Germany,Forward,0,Forward: Shots + Goals
P00051,Antonio Havertz,Germany,Forward,0,Forward: Shots + Goals
P00052,Nico Schlotterbeck,Germany,Forward,0,Forward: Shots + Goals
P00053,Pedro Gavi,Spain,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00054,Gavi Morata,Spain,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00055,Rodri Fati,Spain,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00056,Pedro Torres,Spain,Defender,1,Defender: Clearances + Aerial duels
P00057,Gavi Asensio,Spain,Defender,1,Defender: Clearances + Aerial duels
P00058,Rodri Laporte,Spain,Defender,1,Defender: Clearances + Aerial duels
P00059,Alvaro Oyarzabal,Spain,Defender,1,Defender: Clearances + Aerial duels
P00060,Ferran Pau,Spain,Defender,1,Defender: Clearances + Aerial duels
P00061,Ansu Alba,Spain,Defender,1,Defender: Clearances + Aerial duels
P00062,Marco Carvajal,Spain,Defender,1,Defender: Clearances + Aerial duels
P00063,Dani Garcia,Spain,Defender,1,Defender: Clearances + Aerial duels
P00064,Aymeric Yamal,Spain,Defender,1,Defender: Clearances + Aerial duels
P00065,Pedro Riquelme,Spain,Midfielder,2,Midfielder: Key passes + Passing
P00066,Gavi Ramos,Spain,Midfielder,2,Midfielder: Key passes + Passing
P00067,Rodri Alonso,Spain,Midfielder,2,Midfielder: Key passes + Passing
P00068,Alvaro Llorente,Spain,Midfielder,2,Midfielder: Key passes + Passing
P00069,Ferran Cubarsi,Spain,Midfielder,2,Midfielder: Key passes + Passing
P00070,Ansu Le Normand,Spain,Midfielder,2,Midfielder: Key passes + Passing
P00071,Marco Mikel,Spain,Midfielder,2,Midfielder: Key passes + Passing
P00072,Dani Gavi,Spain,Midfielder,2,Midfielder: Key passes + Passing
P00073,Pedro Cubarsi,Spain,Forward,0,Forward: Shots + Goals
P00074,Gavi Le Normand,Spain,Forward,0,Forward: Shots + Goals
P00075,Rodri Mikel,Spain,Forward,0,Forward: Shots + Goals
P00076,Alvaro Gavi,Spain,Forward,0,Forward: Shots + Goals
P00077,Ferran Morata,Spain,Forward,0,Forward: Shots + Goals
P00078,Ansu Fati,Spain,Forward,0,Forward: Shots + Goals
P00079,Harry Bellingham,England,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00080,Jude Saka,England,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00081,Phil Rashford,England,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00082,Harry Rice,England,Defender,1,Defender: Clearances + Aerial duels
P00083,Jude Grealish,England,Defender,1,Defender: Clearances + Aerial duels
P00084,Phil Walker,England,Defender,1,Defender: Clearances + Aerial duels
P00085,Bukayo Alexander-Arnold,England,Defender,1,Defender: Clearances + Aerial duels
P00086,Declan Trippier,England,Defender,1,Defender: Clearances + Aerial duels
P00087,Marcus Mount,England,Defender,1,Defender: Clearances + Aerial duels
P00088,Jack Toney,England,Defender,1,Defender: Clearances + Aerial duels
P00089,John Palmer,England,Defender,1,Defender: Clearances + Aerial duels
P00090,Kyle Gallagher,England,Defender,1,Defender: Clearances + Aerial duels
P00091,Harry Phillips,England,Midfielder,2,Midfielder: Key passes + Passing
P00092,Jude Maddison,England,Midfielder,2,Midfielder: Key passes + Passing
P00093,Phil Eze,England,Midfielder,2,Midfielder: Key passes + Passing
P00094,Bukayo Ramsdale,England,Midfielder,2,Midfielder: Key passes + Passing
P00095,Declan Watkins,England,Midfielder,2,Midfielder: Key passes + Passing
P00096,Marcus Chilwell,England,Midfielder,2,Midfielder: Key passes + Passing
P00097,Jack White,England,Midfielder,2,Midfielder: Key passes + Passing
P00098,John Bellingham,England,Midfielder,2,Midfielder: Key passes + Passing
P00099,Harry Watkins,England,Forward,0,Forward: Shots + Goals
P00100,Jude Chilwell,England,Forward,0,Forward: Shots + Goals
P00101,Phil White,England,Forward,0,Forward: Shots + Goals
P00102,Bukayo Bellingham,England,Forward,0,Forward: Shots + Goals
P00103,Declan Saka,England,Forward,0,Forward: Shots + Goals
P00104,Marcus Rashford,England,Forward,0,Forward: Shots + Goals
P00105,Gianluigi Chiesa,Italy,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00106,Federico Tonali,Italy,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00107,Nicolo Immobile,Italy,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00108,Gianluigi Verratti,Italy,Defender,1,Defender: Clearances + Aerial duels
P00109,Federico Pellegrini,Italy,Defender,1,Defender: Clearances + Aerial duels
P00110,Nicolo Bastoni,Italy,Defender,1,Defender: Clearances + Aerial duels
P00111,Sandro Scamacca,Italy,Defender,1,Defender: Clearances + Aerial duels
P00112,Marco Locatelli,Italy,Defender,1,Defender: Clearances + Aerial duels
P00113,Ciro Spinazzola,Italy,Defender,1,Defender: Clearances + Aerial duels
P00114,Lorenzo Frascati,Italy,Defender,1,Defender: Clearances + Aerial duels
P00115,Stephan Guglielmo,Italy,Defender,1,Defender: Clearances + Aerial duels
P00116,Alessandro Udogie,Italy,Defender,1,Defender: Clearances + Aerial duels
P00117,Gianluigi Di Lorenzo,Italy,Midfielder,2,Midfielder: Key passes + Passing
P00118,Federico Berardi,Italy,Midfielder,2,Midfielder: Key passes + Passing
P00119,Nicolo Vicario,Italy,Midfielder,2,Midfielder: Key passes + Passing
P00120,Sandro Bellanova,Italy,Midfielder,2,Midfielder: Key passes + Passing
P00121,Marco Calafiori,Italy,Midfielder,2,Midfielder: Key passes + Passing
P00122,Ciro Colpani,Italy,Midfielder,2,Midfielder: Key passes + Passing
P00123,Lorenzo Retegui,Italy,Midfielder,2,Midfielder: Key passes + Passing
P00124,Stephan Chiesa,Italy,Midfielder,2,Midfielder: Key passes + Passing
P00125,Gianluigi Calafiori,Italy,Forward,0,Forward: Shots + Goals
P00126,Federico Colpani,Italy,Forward,0,Forward: Shots + Goals
P00127,Nicolo Retegui,Italy,Forward,0,Forward: Shots + Goals
P00128,Sandro Chiesa,Italy,Forward,0,Forward: Shots + Goals
P00129,Marco Tonali,Italy,Forward,0,Forward: Shots + Goals
P00130,Ciro Immobile,Italy,Forward,0,Forward: Shots + Goals
P00131,Frenkie Gakpo,Netherlands,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00132,Cody Blind,Netherlands,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00133,Memphis van Dijk,Netherlands,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00134,Frenkie de Ligt,Netherlands,Defender,1,Defender: Clearances + Aerial duels
P00135,Cody Dumfries,Netherlands,Defender,1,Defender: Clearances + Aerial duels
P00136,Memphis Simons,Netherlands,Defender,1,Defender: Clearances + Aerial duels
P00137,Daley Berghuis,Netherlands,Defender,1,Defender: Clearances + Aerial duels
P00138,Matthijs Timber,Netherlands,Defender,1,Defender: Clearances + Aerial duels
P00139,Virgil Weghorst,Netherlands,Defender,1,Defender: Clearances + Aerial duels
P00140,Denzel Malen,Netherlands,Defender,1,Defender: Clearances + Aerial duels
P00141,Teun Gravenberch,Netherlands,Defender,1,Defender: Clearances + Aerial duels
P00142,Xavi Veerman,Netherlands,Defender,1,Defender: Clearances + Aerial duels
P00143,Frenkie Ake,Netherlands,Midfielder,2,Midfielder: Key passes + Passing
P00144,Cody de Jong,Netherlands,Midfielder,2,Midfielder: Key passes + Passing
P00145,Memphis van de Ven,Netherlands,Midfielder,2,Midfielder: Key passes + Passing
P00146,Daley Frimpong,Netherlands,Midfielder,2,Midfielder: Key passes + Passing
P00147,Matthijs Wijndal,Netherlands,Midfielder,2,Midfielder: Key passes + Passing
P00148,Virgil Lang,Netherlands,Midfielder,2,Midfielder: Key passes + Passing
P00149,Denzel Zerrouki,Netherlands,Midfielder,2,Midfielder: Key passes + Passing
P00150,Teun Gakpo,Netherlands,Midfielder,2,Midfielder: Key passes + Passing
P00151,Frenkie Wijndal,Netherlands,Forward,0,Forward: Shots + Goals
P00152,Cody Lang,Netherlands,Forward,0,Forward: Shots + Goals
P00153,Memphis Zerrouki,Netherlands,Forward,0,Forward: Shots + Goals
P00154,Daley Gakpo,Netherlands,Forward,0,Forward: Shots + Goals
P00155,Matthijs Blind,Netherlands,Forward,0,Forward: Shots + Goals
P00156,Virgil van Dijk,Netherlands,Forward,0,Forward: Shots + Goals
P00157,Kevin Lukaku,Belgium,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00158,Romelu Courtois,Belgium,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00159,Eden Dendoncker,Belgium,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00160,Kevin Tielemans,Belgium,Defender,1,Defender: Clearances + Aerial duels
P00161,Romelu Witsel,Belgium,Defender,1,Defender: Clearances + Aerial duels
P00162,Eden Castagne,Belgium,Defender,1,Defender: Clearances + Aerial duels
P00163,Thibaut Vertonghen,Belgium,Defender,1,Defender: Clearances + Aerial duels
P00164,Youri Chadli,Belgium,Defender,1,Defender: Clearances + Aerial duels
P00165,Leander Doku,Belgium,Defender,1,Defender: Clearances + Aerial duels
P00166,Axel Bakayoko,Belgium,Defender,1,Defender: Clearances + Aerial duels
P00167,Thomas Openda,Belgium,Defender,1,Defender: Clearances + Aerial duels
P00168,Jason Theate,Belgium,Defender,1,Defender: Clearances + Aerial duels
P00169,Kevin Casteels,Belgium,Midfielder,2,Midfielder: Key passes + Passing
P00170,Romelu Onana,Belgium,Midfielder,2,Midfielder: Key passes + Passing
P00171,Eden De Ketelaere,Belgium,Midfielder,2,Midfielder: Key passes + Passing
P00172,Thibaut Faes,Belgium,Midfielder,2,Midfielder: Key passes + Passing
P00173,Youri Saelemaekers,Belgium,Midfielder,2,Midfielder: Key passes + Passing
P00174,Leander Vanheusden,Belgium,Midfielder,2,Midfielder: Key passes + Passing
P00175,Axel Lammens,Belgium,Midfielder,2,Midfielder: Key passes + Passing
P00176,Thomas Lukaku,Belgium,Midfielder,2,Midfielder: Key passes + Passing
P00177,Kevin Saelemaekers,Belgium,Forward,0,Forward: Shots + Goals
P00178,Romelu Vanheusden,Belgium,Forward,0,Forward: Shots + Goals
P00179,Eden Lammens,Belgium,Forward,0,Forward: Shots + Goals
P00180,Thibaut Lukaku,Belgium,Forward,0,Forward: Shots + Goals
P00181,Youri Courtois,Belgium,Forward,0,Forward: Shots + Goals
P00182,Leander Dendoncker,Belgium,Forward,0,Forward: Shots + Goals
P00183,Cristiano Fernandes,Portugal,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00184,Bruno Leao,Portugal,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00185,Bernardo Felix,Portugal,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00186,Cristiano Jota,Portugal,Defender,1,Defender: Clearances + Aerial duels
P00187,Bruno Cancelo,Portugal,Defender,1,Defender: Clearances + Aerial duels
P00188,Bernardo Santos,Portugal,Defender,1,Defender: Clearances + Aerial duels
P00189,Rafael Guedes,Portugal,Defender,1,Defender: Clearances + Aerial duels
P00190,Diogo Semedo,Portugal,Defender,1,Defender: Clearances + Aerial duels
P00191,Joao Neves,Portugal,Defender,1,Defender: Clearances + Aerial duels
P00192,Pedro Neto,Portugal,Defender,1,Defender: Clearances + Aerial duels
P00193,Ruben Inacio,Portugal,Defender,1,Defender: Clearances + Aerial duels
P00194,Pepe Carvalho,Portugal,Defender,1,Defender: Clearances + Aerial duels
P00195,Cristiano Palhinha,Portugal,Midfielder,2,Midfielder: Key passes + Passing
P00196,Bruno Vitinha,Portugal,Midfielder,2,Midfielder: Key passes + Passing
P00197,Bernardo Conceicao,Portugal,Midfielder,2,Midfielder: Key passes + Passing
P00198,Rafael Antonio,Portugal,Midfielder,2,Midfielder: Key passes + Passing
P00199,Diogo Eustaquio,Portugal,Midfielder,2,Midfielder: Key passes + Passing
P00200,Joao Taremi,Portugal,Midfielder,2,Midfielder: Key passes + Passing
P00201,Pedro Pepe,Portugal,Midfielder,2,Midfielder: Key passes + Passing
P00202,Ruben Fernandes,Portugal,Midfielder,2,Midfielder: Key passes + Passing
P00203,Cristiano Eustaquio,Portugal,Forward,0,Forward: Shots + Goals
P00204,Bruno Taremi,Portugal,Forward,0,Forward: Shots + Goals
P00205,Bernardo Pepe,Portugal,Forward,0,Forward: Shots + Goals
P00206,Rafael Fernandes,Portugal,Forward,0,Forward: Shots + Goals
P00207,Diogo Leao,Portugal,Forward,0,Forward: Shots + Goals
P00208,Joao Felix,Portugal,Forward,0,Forward: Shots + Goals
P00209,Luka Kovacic,Croatia,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00210,Mateo Brozovic,Croatia,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00211,Ivan Kramaric,Croatia,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00212,Luka Vlasic,Croatia,Defender,1,Defender: Clearances + Aerial duels
P00213,Mateo Pasalic,Croatia,Defender,1,Defender: Clearances + Aerial duels
P00214,Ivan Gvardiol,Croatia,Defender,1,Defender: Clearances + Aerial duels
P00215,Marcelo Lovren,Croatia,Defender,1,Defender: Clearances + Aerial duels
P00216,Josko Bradaric,Croatia,Defender,1,Defender: Clearances + Aerial duels
P00217,Dominik Juranovic,Croatia,Defender,1,Defender: Clearances + Aerial duels
P00218,Andrej Sutalo,Croatia,Defender,1,Defender: Clearances + Aerial duels
P00219,Mario Ivanusec,Croatia,Defender,1,Defender: Clearances + Aerial duels
P00220,Ante Budimir,Croatia,Defender,1,Defender: Clearances + Aerial duels
P00221,Luka Barisic,Croatia,Midfielder,2,Midfielder: Key passes + Passing
P00222,Mateo Stanisic,Croatia,Midfielder,2,Midfielder: Key passes + Passing
P00223,Ivan Erlic,Croatia,Midfielder,2,Midfielder: Key passes + Passing
P00224,Marcelo Petkovic,Croatia,Midfielder,2,Midfielder: Key passes + Passing
P00225,Josko Musah,Croatia,Midfielder,2,Midfielder: Key passes + Passing
P00226,Dominik Kljulanovic,Croatia,Midfielder,2,Midfielder: Key passes + Passing
P00227,Andrej Bajkovic,Croatia,Midfielder,2,Midfielder: Key passes + Passing
P00228,Mario Kovacic,Croatia,Midfielder,2,Midfielder: Key passes + Passing
P00229,Luka Musah,Croatia,Forward,0,Forward: Shots + Goals
P00230,Mateo Kljulanovic,Croatia,Forward,0,Forward: Shots + Goals
P00231,Ivan Bajkovic,Croatia,Forward,0,Forward: Shots + Goals
P00232,Marcelo Kovacic,Croatia,Forward,0,Forward: Shots + Goals
P00233,Josko Brozovic,Croatia,Forward,0,Forward: Shots + Goals
P00234,Dominik Kramaric,Croatia,Forward,0,Forward: Shots + Goals
P00235,Granit Shaqiri,Switzerland,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00236,Xherdan Sommer,Switzerland,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00237,Manuel Zuber,Switzerland,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00238,Granit Rodriguez,Switzerland,Defender,1,Defender: Clearances + Aerial duels
P00239,Xherdan Fernandes,Switzerland,Defender,1,Defender: Clearances + Aerial duels
P00240,Manuel Seferovic,Switzerland,Defender,1,Defender: Clearances + Aerial duels
P00241,Yann Elvedi,Switzerland,Defender,1,Defender: Clearances + Aerial duels
P00242,Ricardo Mbabu,Switzerland,Defender,1,Defender: Clearances + Aerial duels
P00243,Stefan Okafor,Switzerland,Defender,1,Defender: Clearances + Aerial duels
P00244,Fabian Ndoye,Switzerland,Defender,1,Defender: Clearances + Aerial duels
P00245,Remo Jashari,Switzerland,Defender,1,Defender: Clearances + Aerial duels
P00246,Haris Steiner,Switzerland,Defender,1,Defender: Clearances + Aerial duels
P00247,Granit Zakaria,Switzerland,Midfielder,2,Midfielder: Key passes + Passing
P00248,Xherdan Aebischer,Switzerland,Midfielder,2,Midfielder: Key passes + Passing
P00249,Manuel Rieder,Switzerland,Midfielder,2,Midfielder: Key passes + Passing
P00250,Yann Blerim,Switzerland,Midfielder,2,Midfielder: Key passes + Passing
P00251,Ricardo Kobal,Switzerland,Midfielder,2,Midfielder: Key passes + Passing
P00252,Stefan Mvogo,Switzerland,Midfielder,2,Midfielder: Key passes + Passing
P00253,Fabian Pfannenstiel,Switzerland,Midfielder,2,Midfielder: Key passes + Passing
P00254,Remo Shaqiri,Switzerland,Midfielder,2,Midfielder: Key passes + Passing
P00255,Granit Kobal,Switzerland,Forward,0,Forward: Shots + Goals
P00256,Xherdan Mvogo,Switzerland,Forward,0,Forward: Shots + Goals
P00257,Manuel Pfannenstiel,Switzerland,Forward,0,Forward: Shots + Goals
P00258,Yann Shaqiri,Switzerland,Forward,0,Forward: Shots + Goals
P00259,Ricardo Sommer,Switzerland,Forward,0,Forward: Shots + Goals
P00260,Stefan Zuber,Switzerland,Forward,0,Forward: Shots + Goals
P00261,Christian Hojbjerg,Denmark,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00262,Pierre-Emile Christensen,Denmark,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00263,Simon Wind,Denmark,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00264,Christian Maehle,Denmark,Defender,1,Defender: Clearances + Aerial duels
P00265,Pierre-Emile Damsgaard,Denmark,Defender,1,Defender: Clearances + Aerial duels
P00266,Simon Dolberg,Denmark,Defender,1,Defender: Clearances + Aerial duels
P00267,Andreas Lindstrom,Denmark,Defender,1,Defender: Clearances + Aerial duels
P00268,Joakim Maeland,Denmark,Defender,1,Defender: Clearances + Aerial duels
P00269,Rasmus Andersen,Denmark,Defender,1,Defender: Clearances + Aerial duels
P00270,Mikkel Bah,Denmark,Defender,1,Defender: Clearances + Aerial duels
P00271,Kasper Cornelius,Denmark,Defender,1,Defender: Clearances + Aerial duels
P00272,Jannik Olsen,Denmark,Defender,1,Defender: Clearances + Aerial duels
P00273,Christian Wass,Denmark,Midfielder,2,Midfielder: Key passes + Passing
P00274,Pierre-Emile Christensen,Denmark,Midfielder,2,Midfielder: Key passes + Passing
P00275,Simon Poulsen,Denmark,Midfielder,2,Midfielder: Key passes + Passing
P00276,Andreas Vestergaard,Denmark,Midfielder,2,Midfielder: Key passes + Passing
P00277,Joakim Skov,Denmark,Midfielder,2,Midfielder: Key passes + Passing
P00278,Rasmus Laursen,Denmark,Midfielder,2,Midfielder: Key passes + Passing
P00279,Mikkel Hansen,Denmark,Midfielder,2,Midfielder: Key passes + Passing
P00280,Kasper Hojbjerg,Denmark,Midfielder,2,Midfielder: Key passes + Passing
P00281,Christian Skov,Denmark,Forward,0,Forward: Shots + Goals
P00282,Pierre-Emile Laursen,Denmark,Forward,0,Forward: Shots + Goals
P00283,Simon Hansen,Denmark,Forward,0,Forward: Shots + Goals
P00284,Andreas Hojbjerg,Denmark,Forward,0,Forward: Shots + Goals
P00285,Joakim Christensen,Denmark,Forward,0,Forward: Shots + Goals
P00286,Rasmus Wind,Denmark,Forward,0,Forward: Shots + Goals
P00287,Dusan Mitrovic,Serbia,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00288,Aleksandar Savic,Serbia,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00289,Filip Milinkovic-Savic,Serbia,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00290,Dusan Gudelj,Serbia,Defender,1,Defender: Clearances + Aerial duels
P00291,Aleksandar Kostic,Serbia,Defender,1,Defender: Clearances + Aerial duels
P00292,Filip Pavlovic,Serbia,Defender,1,Defender: Clearances + Aerial duels
P00293,Sergej Milenkovic,Serbia,Defender,1,Defender: Clearances + Aerial duels
P00294,Nemanja Lazovic,Serbia,Defender,1,Defender: Clearances + Aerial duels
P00295,Dusan Zivkovic,Serbia,Defender,1,Defender: Clearances + Aerial duels
P00296,Lazar Ilic,Serbia,Defender,1,Defender: Clearances + Aerial duels
P00297,Strahinja Ristic,Serbia,Defender,1,Defender: Clearances + Aerial duels
P00298,Andrija Gudelj,Serbia,Defender,1,Defender: Clearances + Aerial duels
P00299,Dusan Radonjic,Serbia,Midfielder,2,Midfielder: Key passes + Passing
P00300,Aleksandar Lukic,Serbia,Midfielder,2,Midfielder: Key passes + Passing
P00301,Filip Maksimovic,Serbia,Midfielder,2,Midfielder: Key passes + Passing
P00302,Sergej Jovic,Serbia,Midfielder,2,Midfielder: Key passes + Passing
P00303,Nemanja Jevtovic,Serbia,Midfielder,2,Midfielder: Key passes + Passing
P00304,Dusan Terzic,Serbia,Midfielder,2,Midfielder: Key passes + Passing
P00305,Lazar Grujic,Serbia,Midfielder,2,Midfielder: Key passes + Passing
P00306,Strahinja Mitrovic,Serbia,Midfielder,2,Midfielder: Key passes + Passing
P00307,Dusan Jevtovic,Serbia,Forward,0,Forward: Shots + Goals
P00308,Aleksandar Terzic,Serbia,Forward,0,Forward: Shots + Goals
P00309,Filip Grujic,Serbia,Forward,0,Forward: Shots + Goals
P00310,Sergej Mitrovic,Serbia,Forward,0,Forward: Shots + Goals
P00311,Nemanja Savic,Serbia,Forward,0,Forward: Shots + Goals
P00312,Dusan Milinkovic-Savic,Serbia,Forward,0,Forward: Shots + Goals
P00313,David Sabitzer,Austria,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00314,Marcel Lainer,Austria,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00315,Marko Baumgartlinger,Austria,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00316,David Laimer,Austria,Defender,1,Defender: Clearances + Aerial duels
P00317,Marcel Kalajdzic,Austria,Defender,1,Defender: Clearances + Aerial duels
P00318,Marko Gregoritsch,Austria,Defender,1,Defender: Clearances + Aerial duels
P00319,Konrad Posch,Austria,Defender,1,Defender: Clearances + Aerial duels
P00320,Stefan Hinteregger,Austria,Defender,1,Defender: Clearances + Aerial duels
P00321,Maximilian Seiwald,Austria,Defender,1,Defender: Clearances + Aerial duels
P00322,Florian Waldschmidt,Austria,Defender,1,Defender: Clearances + Aerial duels
P00323,Xaver Kofler,Austria,Defender,1,Defender: Clearances + Aerial duels
P00324,Philipp Friedl,Austria,Defender,1,Defender: Clearances + Aerial duels
P00325,David Ulmer,Austria,Midfielder,2,Midfielder: Key passes + Passing
P00326,Marcel Dembir,Austria,Midfielder,2,Midfielder: Key passes + Passing
P00327,Marko Borrmann,Austria,Midfielder,2,Midfielder: Key passes + Passing
P00328,Konrad Bardi,Austria,Midfielder,2,Midfielder: Key passes + Passing
P00329,Stefan Muhl,Austria,Midfielder,2,Midfielder: Key passes + Passing
P00330,Maximilian Bavoli,Austria,Midfielder,2,Midfielder: Key passes + Passing
P00331,Florian Kick,Austria,Midfielder,2,Midfielder: Key passes + Passing
P00332,Xaver Sabitzer,Austria,Midfielder,2,Midfielder: Key passes + Passing
P00333,David Muhl,Austria,Forward,0,Forward: Shots + Goals
P00334,Marcel Bavoli,Austria,Forward,0,Forward: Shots + Goals
P00335,Marko Kick,Austria,Forward,0,Forward: Shots + Goals
P00336,Konrad Sabitzer,Austria,Forward,0,Forward: Shots + Goals
P00337,Stefan Lainer,Austria,Forward,0,Forward: Shots + Goals
P00338,Maximilian Baumgartlinger,Austria,Forward,0,Forward: Shots + Goals
P00339,Robert Zielinski,Poland,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00340,Piotr Glik,Poland,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00341,Jan Milik,Poland,Goalkeeper,3,Goalkeeper: Saves + Physicality
P00342,Robert Krychowiak,Poland,Defender,1,Defender: Clearances + Aerial duels
P00343,Piotr Szymanski,Poland,Defender,1,Defender: Clearances + Aerial duels
P00344,Jan Bednarek,Poland,Defender,1,Defender: Clearances + Aerial duels
P00345,Arkadiusz Dawidowicz,Poland,Defender,1,Defender: Clearances + Aerial duels
P00346,Grzegorz Piatek,Poland,Defender,1,Defender: Clearances + Aerial duels
P00347,Krzysztof Grosicki,Poland,Defender,1,Defender: Clearances + Aerial duels
P00348,Mateusz Frankowski,Poland,Defender,1,Defender: Clearances + Aerial duels
P00349,Jakub Helik,Poland,Defender,1,Defender: Clearances + Aerial duels
